,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T23:57:57.200000Z, , , , , ,,
1, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T22:35:57.200000Z, , , , , ,2023-12-30T22:36:42.369998Z,
2, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T20:36:57.200000Z, , , , , ,,
3, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T19:35:57.200000Z, , , , , ,,
4, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T16:13:57.200000Z, , , , , ,,
5, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T14:54:57.200000Z, , , , , ,,
6, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T12:14:57.200000Z, , , , , ,,
7, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T12:12:57.200000Z, , , , , ,,
8, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T11:36:57.200000Z, , , , , ,,
9, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T08:56:57.200000Z, , , , , ,,
10, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T08:30:57.200000Z, , , , , ,,
11, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T08:00:57.200000Z, , , , , ,,
12, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T07:36:57.200000Z, , , , , ,,
13, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T07:27:57.200000Z, , , , , ,,
14, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T06:19:57.200000Z, , , , , ,,
15, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T06:09:57.200000Z, , , , , ,,
16, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T03:51:57.200000Z, , , , , ,,
17, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T03:12:57.200000Z, , , , , ,,
18, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T02:46:57.200000Z, , , , , ,,
19, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T02:35:57.200000Z, , , , , ,,
20, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T02:15:57.200000Z, , , , , ,,
21, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-30T01:06:57.200000Z, , , , , ,,
22, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T22:16:57.200000Z, , , , , ,,
23, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T19:32:57.200000Z, , , , , ,,
24, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T19:10:57.200000Z, , , , , ,,
25, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T17:26:57.200000Z, , , , , ,,
26, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T14:59:57.200000Z, , , , , ,,
27, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T13:31:57.200000Z, , , , , ,,
28, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T12:02:57.200000Z, , , , , ,,
29, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T11:33:57.200000Z, , , , , ,,
30, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T10:38:57.200000Z, , , , , ,,
31, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T07:04:57.200000Z, , , , , ,,
32, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T05:21:57.200000Z, , , , , ,,
33, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T02:13:57.200000Z, , , , , ,2023-12-29T02:14:32.249999Z,2023-12-29T02:14:16.680000Z
34, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T01:44:57.200000Z, , , , , ,,
35, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T00:37:57.200000Z, , , , , ,,
36, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-29T00:08:57.200000Z, , , , , ,,
37, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-28T23:34:57.200000Z, , , , , ,,
38, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-28T23:07:57.200000Z, , , , , ,,
39, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-28T21:41:57.200000Z, , , , , ,,
